Date,Category,Subcategory,Description,Amount,Income
2024-07-20,Transportation,Public Transit,Subway ticket,155.03,30554.81
2024-07-21,Food,Dining Out,Lunch at McDonald's,75.26,16246.260000000002
2024-07-22,Healthcare,Pharmacy,Prescription refill,159.31,52220.08
2024-07-22,Food,Groceries,Fresh produce purchase,63.34,63035.13
2024-07-23,Miscellaneous,Other,Miscellaneous purchase,147.57,63035.13
2024-07-23,Housing,Utilities,Cable TV subscription,295.65,84736.65
2024-07-24,Healthcare,Insurance,Health insurance premium,292.96,19142.030000000002
2024-07-24,Miscellaneous,Travel,Flight tickets,174.63,25457.760000000002
2024-07-24,Personal,Fitness,Gym membership fee,70.05,76773.59999999999
2024-07-24,Miscellaneous,Donations,Charitable donation,254.33,92054.32999999999
2024-07-25,Entertainment,Subscriptions,Netflix monthly fee,80.76,27950.58
2024-07-25,Transportation,Ride Services,Lyft trip,261.17,63035.13
2024-07-26,Education,Tuition,University tuition payment,211.79,7418.27
2024-07-26,Food,Dining Out,Dinner at McDonald's,200,33346.05
2024-07-26,Education,Supplies,School stationery,154.49,69472.56
2024-07-26,Shopping,Home Goods,Home decor items,264.58,84736.65
2024-07-27,Miscellaneous,Travel,Travel insurance,187.76,76773.59999999999
2024-07-27,Entertainment,Movies/Events,Theater show,222.65,92054.32999999999
2024-07-28,Savings/Investments,Investments,Cryptocurrency buy,120.11,30554.81
2024-07-29,Food,Dining Out,Lunch at McDonald's,82.64,27950.58
2024-07-29,Personal,Clothing,Shoes shopping,165.98,76773.59999999999
2024-07-30,Shopping,Gifts,Holiday shopping,127.95,25457.760000000002
2024-07-30,Savings/Investments,Emergency Fund,Transfer to emergency savings,71.99,84736.65
2024-07-31,Savings/Investments,Emergency Fund,Rainy day fund deposit,157.04,37738.840000000004
2024-07-31,Entertainment,Movies/Events,Concert tickets,94.44,80314.7
2024-08-01,Transportation,Public Transit,Bus fare,156.07,7418.27
2024-08-01,Transportation,Ride Services,Taxi fare,107.85,25457.760000000002
2024-08-01,Personal,Fitness,Yoga class,270.38,25457.760000000002
2024-08-01,Entertainment,Hobbies,Art supplies,51.66,98146.84999999999
2024-08-01,Personal,Fitness,Sports equipment,215.64,105218.23
2024-08-02,Food,Dining Out,Quick bite at McDonald's,274.71,98146.84999999999
2024-08-03,Personal,Grooming,Manicure/Pedicure,267.11,52220.08
2024-08-03,Healthcare,Insurance,Dental insurance payment,119.78,69472.56
2024-08-05,Healthcare,Insurance,Dental insurance payment,126.29,63035.13
2024-08-05,Transportation,Public Transit,Monthly transit pass,127.73,69472.56
2024-08-05,Debt Payments,Credit Card,Card balance transfer,142.47,76773.59999999999
2024-08-06,Savings/Investments,Retirement,401(k) contribution,207.55,45332.91
2024-08-06,Personal,Fitness,Sports equipment,163.07,92054.32999999999
2024-08-08,Savings/Investments,Investments,Stock market investment,107.06,12017.900000000001
2024-08-08,Healthcare,Doctor Visits,Dentist appointment,131.95,25457.760000000002
2024-08-09,Shopping,Gifts,Holiday shopping,196.09,12017.900000000001
2024-08-11,Shopping,Home Goods,Home decor items,243.62,33346.05
2024-08-11,Savings/Investments,Retirement,401(k) contribution,199.24,105218.23
2024-08-12,Housing,Mortgage,Home loan installment,64.64,37738.840000000004
2024-08-12,Transportation,Fuel,Gas station fill-up,169.23,55101.43
2024-08-12,Transportation,Fuel,Gas station fill-up,273.83,84736.65
2024-08-13,Miscellaneous,Donations,Charitable donation,119.83,12017.900000000001
2024-08-13,Shopping,Home Goods,Home decor items,201.15,12017.900000000001
2024-08-13,Transportation,Ride Services,Lyft trip,123.48,52220.08
2024-08-14,Savings/Investments,Emergency Fund,Rainy day fund deposit,116.83,52220.08
2024-08-15,Miscellaneous,Other,Unexpected expense,286.85,16246.260000000002
2024-08-15,Education,Supplies,School stationery,128.64,63035.13
2024-08-15,Food,Dining Out,Dinner at McDonald's,198.79,98146.84999999999
2024-08-16,Income,Investment returns,Income for the day,4599.63,4599.63
2024-08-16,Housing,Mortgage,Monthly mortgage payment,117.06,12017.900000000001
2024-08-17,Transportation,Public Transit,Subway ticket,74.42,92054.32999999999
2024-08-19,Personal,Clothing,Shoes shopping,89.66,33346.05
2024-08-20,Education,Tuition,University tuition payment,53.52,63035.13
2024-08-20,Entertainment,Subscriptions,Amazon Prime renewal,213.11,92054.32999999999
2024-08-21,Food,Dining Out,Coffee at Powers Inc,266.11,69472.56
2024-08-22,Food,Dining Out,"Coffee at Soto, Mckinney and Larson",269.57,25457.760000000002
2024-08-22,Miscellaneous,Other,Miscellaneous purchase,150.48,92054.32999999999
2024-08-22,Healthcare,Pharmacy,Prescription refill,280.83,98146.84999999999
2024-08-23,Miscellaneous,Donations,Crowdfunding contribution,196.15,7418.27
2024-08-23,Education,Supplies,Laptop for studies,132.49,7418.27
2024-08-23,Entertainment,Movies/Events,Movie tickets,89.39,25457.760000000002
2024-08-23,Personal,Grooming,Manicure/Pedicure,230.85,30554.81
2024-08-23,Entertainment,Hobbies,Video game purchase,165.78,45332.91
2024-08-23,Housing,Mortgage,Home loan installment,234.7,63035.13
2024-08-25,Income,Investment returns,Income for the day,7933.7,7933.7
2024-08-25,Food,Dining Out,"Coffee at Sloan, Sims and Davis",292.23,63035.13
2024-08-25,Debt Payments,Credit Card,Card balance transfer,138.8,76773.59999999999
2024-08-25,Education,Books,Textbook purchase,93.1,84736.65
2024-08-25,Entertainment,Subscriptions,Netflix monthly fee,161.26,105218.23
2024-08-26,Personal,Clothing,Casual wear purchase,156.47,33346.05
2024-08-26,Personal,Fitness,Sports equipment,242.85,45332.91
2024-08-26,Income,Investment returns,Income for the day,6092.52,6092.52
2024-08-27,Personal,Clothing,Casual wear purchase,96.02,27950.58
2024-08-27,Healthcare,Insurance,Health insurance premium,289.79,37738.840000000004
2024-08-27,Miscellaneous,Pet Expenses,Veterinary check-up,268.3,45332.91
2024-08-27,Education,Books,Textbook purchase,138.58,69472.56
2024-08-28,Personal,Clothing,New work outfit,57.65,33346.05
2024-08-29,Miscellaneous,Pet Expenses,Pet grooming,200.26,7418.27
2024-08-30,Debt Payments,Credit Card,Card balance transfer,101.98,55101.43
2024-08-30,Entertainment,Hobbies,Art supplies,189.57,98146.84999999999
2024-08-30,Transportation,Public Transit,Bus fare,181.66,105218.23
2024-08-31,Miscellaneous,Donations,Crowdfunding contribution,278.69,7418.27
2024-08-31,Savings/Investments,Emergency Fund,Rainy day fund deposit,256.22,76773.59999999999
2024-08-31,Food,Dining Out,Quick bite at McDonald's,99.38,98146.84999999999
2024-09-01,Healthcare,Insurance,Health insurance premium,166.32,7418.27
2024-09-01,Personal,Clothing,New work outfit,184.35,37738.840000000004
2024-09-01,Shopping,Home Goods,Home decor items,154.03,69472.56
2024-09-01,Healthcare,Doctor Visits,Annual check-up,120.3,69472.56
2024-09-01,Miscellaneous,Other,Miscellaneous purchase,153.23,92054.32999999999
2024-09-02,Personal,Fitness,Gym membership fee,190.38,25457.760000000002
2024-09-02,Shopping,Gifts,Birthday gift for friend,129.74,27950.58
2024-09-02,Entertainment,Movies/Events,Theater show,156.21,55101.43
2024-09-02,Education,Tuition,Online course fee,97.72,84736.65
2024-09-02,Housing,Utilities,Electricity bill,68.88,92054.32999999999
2024-09-03,Education,Tuition,University tuition payment,296.75,16246.260000000002
2024-09-03,Miscellaneous,Travel,Hotel booking,171.78,52220.08
2024-09-03,Food,Dining Out,"Coffee at Allen, Wood and Camacho",269.64,76773.59999999999
2024-09-04,Miscellaneous,Other,Unexpected expense,292.06,30554.81
2024-09-04,Food,Dining Out,Dinner at McDonald's,99.33,45332.91
2024-09-04,Healthcare,Pharmacy,Prescription refill,279.03,80314.7
2024-09-05,Transportation,Fuel,Gas station fill-up,158.0,92054.32999999999
2024-09-07,Debt Payments,Loans,Student loan payment,254.55,7418.27
2024-09-08,Food,Dining Out,Lunch at McDonald's,183.74,12017.900000000001
2024-09-08,Miscellaneous,Other,Unexpected expense,83.65,63035.13
2024-09-08,Savings/Investments,Retirement,IRA deposit,206.91,63035.13
2024-09-09,Food,Dining Out,Dinner at McDonald's,200,63035.13
2024-09-10,Transportation,Ride Services,Taxi fare,231.6,45332.91
2024-09-11,Shopping,Electronics,Smart home device,133.45,7418.27
2024-09-11,Income,Freelance work,Income for the day,6887.17,6887.17
2024-09-11,Food,Dining Out,Dinner at McDonald's,52.0,84736.65
2024-09-11,Miscellaneous,Other,Miscellaneous purchase,214.59,105218.23
2024-09-12,Healthcare,Doctor Visits,Dentist appointment,206.63,63035.13
2024-09-12,Miscellaneous,Pet Expenses,Pet grooming,51.9,98146.84999999999
2024-09-13,Food,Dining Out,Dinner at McDonald's,200,12017.900000000001
2024-09-13,Healthcare,Insurance,Dental insurance payment,135.61,16246.260000000002
2024-09-13,Shopping,Gifts,Anniversary present,157.71,69472.56
2024-09-14,Healthcare,Doctor Visits,Specialist consultation,79.72,98146.84999999999
2024-09-16,Shopping,Home Goods,Home decor items,66.0,12017.900000000001
2024-09-16,Miscellaneous,Pet Expenses,Veterinary check-up,153.01,25457.760000000002
2024-09-16,Entertainment,Subscriptions,Amazon Prime renewal,106.81,45332.91
2024-09-16,Personal,Grooming,Spa treatment,109.65,76773.59999999999
2024-09-16,Entertainment,Hobbies,Art supplies,74.55,84736.65
2024-09-16,Miscellaneous,Travel,Travel insurance,171.49,92054.32999999999
2024-09-16,Healthcare,Pharmacy,Prescription refill,258.03,98146.84999999999
2024-09-17,Food,Groceries,Supermarket run,251.14,7418.27
2024-09-17,Food,Groceries,Fresh produce purchase,67.85,63035.13
2024-09-18,Housing,Mortgage,Monthly mortgage payment,170.41,19142.030000000002
2024-09-18,Miscellaneous,Travel,Travel insurance,287.67,76773.59999999999
2024-09-18,Transportation,Fuel,Gas station fill-up,152.89,80314.7
2024-09-19,Food,Dining Out,Dinner at McDonald's,200,55101.43
2024-09-19,Transportation,Ride Services,Lyft trip,234.6,80314.7
2024-09-19,Entertainment,Subscriptions,Netflix monthly fee,110.12,84736.65
2024-09-20,Miscellaneous,Other,Miscellaneous purchase,158.89,25457.760000000002
2024-09-21,Entertainment,Subscriptions,Amazon Prime renewal,281.62,45332.91
2024-09-23,Healthcare,Pharmacy,Over-the-counter medicines,168.58,16246.260000000002
2024-09-23,Personal,Clothing,Shoes shopping,62.89,45332.91
2024-09-24,Education,Supplies,School stationery,111.63,45332.91
2024-09-24,Shopping,Gifts,Holiday shopping,276.42,52220.08
2024-09-25,Entertainment,Movies/Events,Movie tickets,292.94,105218.23
2024-09-27,Shopping,Home Goods,Bedroom furniture,281.74,63035.13
2024-09-27,Savings/Investments,Emergency Fund,Rainy day fund deposit,160.8,63035.13
2024-09-27,Housing,Utilities,Internet service,128.44,76773.59999999999
2024-09-28,Personal,Clothing,New work outfit,116.27,12017.900000000001
2024-09-28,Savings/Investments,Investments,Mutual fund purchase,95.82,37738.840000000004
2024-09-29,Income,Salary,Income for the day,2895.77,2895.77
2024-09-29,Personal,Grooming,Manicure/Pedicure,210.7,55101.43
2024-09-29,Savings/Investments,Investments,Stock market investment,272.61,63035.13
2024-09-30,Healthcare,Doctor Visits,Annual check-up,131.11,55101.43
2024-10-01,Shopping,Home Goods,Bedroom furniture,213.2,63035.13
2024-10-02,Entertainment,Hobbies,Book buying,240.04,16246.260000000002
2024-10-02,Transportation,Ride Services,Lyft trip,56.06,45332.91
2024-10-02,Food,Dining Out,Quick bite at McDonald's,190.71,98146.84999999999
2024-10-02,Entertainment,Movies/Events,Theater show,264.44,105218.23
2024-10-03,Savings/Investments,Investments,Cryptocurrency buy,288.05,76773.59999999999
2024-10-03,Entertainment,Subscriptions,Amazon Prime renewal,243.23,92054.32999999999
2024-10-05,Savings/Investments,Emergency Fund,Rainy day fund deposit,228.94,7418.27
2024-10-06,Education,Tuition,University tuition payment,283.6,25457.760000000002
2024-10-06,Education,Tuition,Online course fee,128.47,52220.08
